ranking,nome,fortuna,setor,empresa
34, Jorge Paulo Lemann,19.7, Cerveja, AB/Inbev
55, Joseph Safra,16, Banco, Banco Safra
119, Marcelo Hermann Telles,10.2, Cerveja, AB/Inbev
137, João Roberto Marinho,9.1, Mídia, Globo
137, José Roberto Marinho,9.1, Mídia, Globo
137, Roberto Irineu Marinho,9.1, Mídia, Globo
146, Carlos Alberto Sicupira,8.9, Cerveja, AB/Inbev
367, Francisco Ivens de Sa Dias Branco,4.1, Alimentos, M Dias Branco
367, Eduardo Saverin,4.1, Tecnologia, Facebook
396, Walter Faria,3.8, Cerveja, Grupo Petrópolis
483, Aloysio de Andrade Faria,3.3, Banco, Banco Alfa
520, Andre Esteves,3.1, Banco, Banco BTG
520, Antonio Ermírio de Moraes,3.1, Diversificado, Votorantim
520, Ermírio Pereira de Moraes,3.1, Diversificado, Votorantim
520, Maria Helena Moraes Scripilliti,3.1, Diversificado, Votorantim
580, Fernando Roberto Moreira Salles,2.9, Banco e mineração," Itaú Unibanco, CBBM"
580, Joao Moreira Salles,2.9, Banco e mineração," Itaú Unibanco, CBBM"
580, Walther Moreira Salles Junior,2.9, Banco e mineração," Itaú Unibanco, CBBM"
580, Pedro Moreira Salles,2.9, Banco e mineração," Itaú Unibanco, CBBM"
609, Abilio dos Santos Diniz,2.8, Varejo, Pão de Açúcar
642, Miguel Krigsner,2.7, Cosméticos, Grupo Boticário
663, Edson de Godoy Bueno,2.6, Saúde, Amil
796, Rossana Camargo de Arruda Botelho,2.2, Construção, Camargo Corrêa
796, Renata de Camargo Nascimento,2.2, Construção, Carmargo Corrêa
796, Regina de Camargo Pires Oliveira Dias,2.2, Construção, Camargo Corrêa
796, Moise Safra,2.2, Banco, Banco Safra
828, Antonio Luiz Seabra,2.1, Cosméticos, Natura
925, Nevaldo Rocha e família,1.95, Varejo, Riachuelo
931, Dulce Pugliese de Godoy Bueno,1.9, Saúde, Amil
931, Michael Klein,1.9, Varejo, Via Varejo
931, Rubens Ometto Silveira Mello,1.9, Etanol, Cosan
931, Lirio Parisotto,1.9, Investimentos, Videolar
1036, Jayme Garfinkel e família,1.75, Seguros, Porto Seguro
1092, Julio Bozano,1.6, Banco, Grupo Bozano
1143, Ana Maria Marcondes Penido Sant'Anna,1.55, Infraestrutura, CCR
1143, Cesar Mata Pires,1.55, Construção, OAS
1154, Sergio Lins Andrade e família,1.5, Construção, Andrade Gutierrez
1154, Victor Gradin e família,1.5, Construção, Odebrecht
1154, Alexandre Grendene Bartelle,1.5, Calçados, Grendene
1210, Lina Maria Aguiar,1.4, Banco, Bradesco
1210, João Alves de Queiroz Filho,1.4, Bens de Consumo, Hypermarcas
1284, Eggon da Silva,1.3, Indústria, WEG
1284, Elie Horn,1.3, Imóveis, Cyrela
1284, Carlos Francisco Ribeiro Jereissati e família,1.3, Shopping, Iguatemi
1284, Jorge Moll Filho,1.3, Hospitais, Rede D'Or
1284, Jose Isaac Peres e família,1.3, Shopping, Multiplan
1284, Werner Voigt,1.3, Indústria, WEG
1284, Lilian Werninghaus,1.3, Indústria, WEG
1372, Lia Maria Aguiar,1.2, Banco, Bradesco
1372, Guilherme Leal,1.2, Cosméticos, Natura
1372, Rubens Menin Teixeira de Souza,1.2, Construção, MRV
1372, Dorothea Steinbruch,1.2, Aço, CSN
1442, Alfredo Egydio Arruda Villela Filho,1.15, Banco, Itaú
1442, Daisy Igel,1.15, Gás e petroquímica, Grupo Ultra
1465, Ana Lucia de Mattos Barretto Villela,1.1, Banco, Itaú
1465, Edir Macedo e família,1.1, Igreja/ Mídia, Record
1465, José Mendes Nogueira e família,1.1, Ferro e mineração, J Mendes
1540, Giancarlo Franceso Civita,1.05, Mídia, Abril
1540, Victor Civita Neto,1.05, Mídia, Abril
1540, Roberta Anamaria Civita,1.05, Mídia, Abril
1540, Jose Roberto Ermírio de Moraes,1.05, Diversificado, Votorantim
1540, José Ermírio de Moraes Neto,1.05, Diversificado, Votorantim
1540, Liu Ming Chung,1.05, Papel, Nine Dragons
1540, Neide Helena de Moraes,1.05, Diversificado, Votorantim
1565, Carlos Martins,1, Educação, Grupo Multi
